id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
433,Elyh,Harrison,Harrison,14,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,646,111,480,467,0,0
434,Tom,Heaton,Heaton,14,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,536,1,395,304,0,0
435,Dermot,Mee,Mee,14,1,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,587,52,434,470,0,0
436,Matthijs,de Ligt,De Ligt,14,2,5.0,68,2.48,0.25,2.73,38.53,2119,2,0,4,36,0,0,0,3,0,0,3,312,518.4,88.7,303.0,91.5,25,0.11,0.0,0.01,0.12,1.64,1.53,248,363,208,242,1.06,0.17
437,Lisandro,Martínez,Martinez,14,2,5.0,68,1.33,1.21,2.54,30.17,1751,2,1,6,27,0,0,0,7,0,0,5,293,426.6,153.9,158.0,73.8,20,0.07,0.0,0.06,0.13,1.55,1.39,261,376,97,325,1.03,0.31
438,Noussair,Mazraoui,Mazraoui,14,2,5.0,88,0.69,1.87,2.56,46.26,2836,0,1,7,43,0,0,0,3,0,0,5,410,619.4,332.7,123.0,107.5,34,0.02,0.0,0.06,0.08,1.47,1.36,266,381,192,198,1.08,0.22
439,Diego,León Blanco,D.Leon,14,2,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,535,318,589,412,0,0
440,Diogo,Dalot Teixeira,Dalot,14,2,4.5,95,1.96,2.35,4.31,46.95,2812,0,4,8,45,0,0,0,5,0,0,9,352,493.2,434.2,264.0,118.6,31,0.06,0.0,0.08,0.14,1.5,1.44,387,170,138,110,0.99,0.26
441,Patrick,Dorgu,Dorgu,14,2,4.5,18,0.43,1.27,1.70,10.26,840,0,0,2,12,0,0,0,3,1,0,1,108,106.4,175.3,112.0,39.4,10,0.05,0.0,0.14,0.19,1.1,1.29,523,306,303,133,1.07,0.21
442,Harry,Maguire,Maguire,14,2,4.5,48,1.82,0.25,2.07,26.83,1751,1,0,3,27,0,0,0,7,0,0,3,217,411.4,111.5,237.0,76.1,19,0.09,0.0,0.01,0.1,1.38,1.39,351,134,267,271,0.98,0.15
443,Luke,Shaw,Shaw,14,2,4.5,5,0.03,0.77,0.80,3.81,346,0,0,0,5,1,0,0,1,0,0,0,38,48.2,68.2,11.0,12.7,4,0.01,0.0,0.2,0.21,0.99,1.3,356,139,390,430,1.04,0.0
444,Leny,Yoro,Yoro,14,2,4.5,22,0.70,0.15,0.85,19.35,1160,0,0,1,24,0,0,0,5,0,0,0,90,207.4,55.8,54.0,31.8,12,0.05,0.0,0.01,0.06,1.5,1.86,492,275,358,189,0.93,0.08
445,Harry,Amass,Amass,14,2,4.0,4,0.07,0.07,0.14,6.30,345,0,0,0,9,0,0,0,0,0,0,0,1,40.0,26.5,15.0,8.2,4,0.02,0.0,0.02,0.04,1.64,2.35,642,107,384,296,1.04,0.0
