id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
424,Taiwo,Awoniyi,Awoniyi,16,4,5.8,3,0.12,0.03,0.15,0.60,34,0,0,0,1,0,0,0,0,0,0,0,12,7.8,2.5,21.0,3.1,0,0.32,0.0,0.08,0.4,1.59,2.65,95,308,367,262,0.0,0.0
425,Willy,Boly,Boly,16,2,4.4,3,0.07,0.00,0.07,1.22,91,0,0,0,1,0,0,0,0,0,0,0,13,32.0,0.2,17.0,4.9,1,0.07,0.0,0.0,0.07,1.21,0.99,514,328,225,375,0.99,0.0
426,Josh,Bowler,Bowler,16,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,412,516,528,538,0,0
427,Carlos Miguel,dos Santos Pereira,C.Miguel,16,1,4.3,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,567,457,475,349,0,0
428,Eric,da Silva Moreira,Da Silva Moreira,16,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,492,569,578,480,0,0
429,Danilo,dos Santos de Oliveira,Danilo,16,3,4.8,1,0.00,0.00,0.00,0.28,14,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.8,0.0,340,585,319,586,6.43,0.0
430,Emmanuel,Dennis,Dennis,16,4,4.9,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,304,596,604,320,0,0
431,Nicolás,Domínguez,Dominguez,16,3,4.9,2,0.12,0.10,0.22,1.41,104,0,0,0,1,0,0,0,1,0,0,0,4,18.6,17.9,5.0,4.2,1,0.1,0.0,0.09,0.19,1.22,0.87,308,355,387,565,0.87,0.0
432,Anthony,Elanga,Elanga,16,3,5.3,9,0.49,0.47,0.96,1.62,262,0,1,1,1,0,0,0,1,0,0,0,41,49.6,106.6,71.0,22.8,3,0.17,0.0,0.16,0.33,0.56,0.34,178,117,160,183,1.03,0.34
433,Morgan,Gibbs-White,Gibbs-White,16,3,6.5,16,0.72,0.84,1.56,2.95,350,1,0,2,2,0,0,0,1,0,0,2,62,80.6,135.8,125.0,34.1,4,0.19,0.0,0.22,0.41,0.76,0.51,46,42,72,96,1.03,0.51
434,Callum,Hudson-Odoi,Hudson-Odoi,16,3,5.4,15,0.33,0.61,0.94,1.68,276,1,0,2,1,0,0,0,0,0,0,1,73,71.8,100.4,74.0,24.6,3,0.11,0.0,0.2,0.31,0.55,0.33,151,58,83,122,0.98,0.65
435,Alex,Mighten,Mighten,16,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,410,515,527,570,0,0
436,Murillo,Santiago Costa dos Santos,Murillo,16,2,4.5,17,0.00,0.12,0.12,3.04,360,0,0,2,2,0,0,0,0,0,0,1,76,72.4,13.1,6.0,9.2,4,0.0,0.0,0.03,0.03,0.76,0.5,498,29,62,219,1.0,0.5
437,Neco,Williams,N.Williams,16,2,4.5,10,0.43,0.18,0.61,2.19,280,0,0,1,2,0,0,0,1,0,0,0,42,55.8,48.9,40.0,14.5,3,0.14,0.0,0.06,0.2,0.7,0.64,390,93,133,231,0.96,0.32
438,Omar,Richards,O.Richards,16,2,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,383,507,520,571,0,0
439,Lewis,O'Brien,O'Brien,16,3,5.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,229,613,619,658,0,0
440,Andrew,Omobamidele,Omobamidele,16,2,4.4,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,556,489,504,499,0,0
441,Jonathan,Panzo,Panzo,16,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,602,407,426,655,0,0
442,Ibrahim,Sangaré,Sangaré,16,3,4.5,4,0.02,0.06,0.08,1.98,212,0,0,1,2,0,0,0,2,0,0,0,26,38.8,16.4,19.0,7.4,3,0.01,0.0,0.03,0.04,0.84,0.85,386,282,247,128,1.27,0.42
443,Matz,Sels,Sels,16,1,4.5,20,0.00,0.00,0.00,3.04,360,0,0,2,2,0,0,0,1,0,10,3,68,76.0,0.0,0.0,7.6,4,0.0,2.5,0.0,0.0,0.76,0.5,356,18,30,129,1.0,0.5
444,Harry,Toffolo,Toffolo,16,2,4.4,1,0.02,0.01,0.03,0.67,36,0,0,0,1,0,0,0,0,0,0,0,0,9.6,3.0,6.0,1.9,0,0.05,0.0,0.02,0.07,1.68,2.5,522,465,288,486,0.0,0.0
446,Hwang,Ui-jo,Ui-jo,16,4,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,381,505,518,113,0,0
447,Chris,Wood,Wood,16,4,6.1,21,1.55,0.13,1.68,2.36,315,2,0,3,1,0,0,0,1,0,0,6,70,84.0,40.5,159.0,28.4,4,0.44,0.0,0.04,0.48,0.67,0.29,73,61,27,59,1.14,0.86
448,Joe,Worrall,Worrall,16,2,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,384,508,521,551,0,0
449,Ryan,Yates,Yates,16,3,5.0,11,0.26,0.05,0.31,2.00,221,0,1,1,1,0,0,0,1,0,0,2,47,27.2,40.3,47.0,11.5,1,0.11,0.0,0.02,0.13,0.81,0.41,211,209,126,361,0.41,0.41
531,James,Ward-Prowse,Ward-Prowse,16,3,6.3,4,0.00,0.01,0.01,1.21,106,0,0,1,1,0,0,0,0,0,0,0,16,13.6,2.8,0.0,1.7,1,0.0,0.0,0.01,0.01,1.03,0.85,64,267,194,199,0.85,0.85
573,Nikola,Milenković,Milenković,16,2,4.5,14,0.98,0.02,1.00,1.82,270,0,0,2,1,0,0,0,0,0,0,0,48,37.8,21.4,21.0,8.0,3,0.33,0.0,0.01,0.34,0.61,0.33,398,37,52,329,1.0,0.67
596,João Pedro,Ferreira Silva,Jota Silva,16,3,6.0,3,0.00,0.03,0.03,0.10,11,0,0,0,0,0,0,0,0,0,0,0,14,8.6,13.3,0.0,2.2,0,0.0,0.0,0.25,0.25,0.82,0.0,86,266,372,442,0.0,0.0
620,Ramón,Sosa,Sosa,16,3,5.5,1,0.09,0.06,0.15,0.03,10,0,0,0,0,0,0,0,0,0,0,0,5,6.2,20.8,7.0,3.4,0,0.81,0.0,0.54,1.35,0.27,0.0,129,374,364,588,0.0,0.0
653,Felipe,Rodrigues da Silva,Morato,16,2,4.5,1,0.00,0.00,0.00,0.09,9,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,0.0,0.3,0,0.0,0.0,0.0,0.0,0.9,0.0,443,239,305,622,0.0,0.0
14,Aaron,Ramsdale,Ramsdale,17,1,4.4,5,0.00,0.00,0.00,5.45,180,0,0,0,6,0,0,0,0,0,11,0,17,73.2,0.0,0.0,7.3,2,0.0,5.5,0.0,0.0,2.72,3.0,543,162,132,140,1.0,0.0
27,Cameron,Archer,Archer,17,4,5.0,3,1.02,0.02,1.04,3.97,143,0,0,0,4,0,0,1,0,0,0,0,6,9.6,2.8,65.0,7.8,1,0.64,0.0,0.01,0.65,2.5,2.52,234,297,384,153,0.63,0.0
188,Lesley,Ugochukwu,Ugochukwu,17,3,4.5,2,0.21,0.01,0.22,1.85,63,0,0,0,2,0,0,0,0,0,0,0,2,10.2,12.5,4.0,2.7,1,0.3,0.0,0.01,0.31,2.64,2.86,466,284,172,265,1.43,0.0
397,Ryan,Fraser,Fraser,17,3,4.9,1,0.00,0.00,0.00,0.82,26,0,0,0,1,0,0,0,0,0,0,0,6,2.0,0.3,0.0,0.2,0,0.0,0.0,0.0,0.0,2.84,3.46,276,347,321,552,0.0,0.0
450,Carlos,Alcaraz Durán,Alcaraz,17,3,4.9,1,0.07,0.03,0.10,0.00,9,0,0,0,0,0,0,0,0,0,0,0,4,8.4,15.9,19.0,4.3,0,0.7,0.0,0.3,1.0,0.0,0.0,327,605,336,536,0.0,0.0
451,Samuel,Amo-Ameyaw,Amo-Ameyaw,17,3,4.5,1,0.02,0.13,0.15,0.00,9,0,0,0,0,0,0,0,0,0,0,0,4,4.0,15.0,6.0,2.5,0,0.2,0.0,1.3,1.5,0.0,0.0,465,548,308,408,0.0,0.0
